step,loss,acc,freq_ratio,mean_freq_khz,max_temp_c,throttle_delta,governor,epp
1,2.242625,0.212500,0.482,2631839,91.5,0,performance,performance
2,1.822944,0.287500,0.470,2567880,91.2,0,performance,performance
3,1.367064,0.325000,0.486,2653525,91.2,0,performance,performance
4,1.833976,0.262500,0.472,2580570,91.2,0,performance,performance
5,1.832418,0.262500,0.476,2602411,91.2,0,performance,performance
6,1.891938,0.262500,0.445,2433165,91.2,0,performance,performance
7,1.765563,0.312500,0.506,2765206,91.2,0,performance,performance
8,1.588430,0.262500,0.484,2642350,91.2,0,performance,performance
9,1.786068,0.262500,0.485,2648965,91.2,0,performance,performance
10,1.848418,0.350000,0.499,2725277,91.2,0,performance,performance
11,1.639516,0.200000,0.481,2629761,91.2,0,performance,performance
12,1.940520,0.262500,0.488,2664863,91.4,0,performance,performance
13,2.194194,0.187500,0.460,2510624,91.2,0,performance,performance
14,1.794416,0.312500,0.513,2804136,91.2,0,performance,performance
15,1.928616,0.250000,0.487,2658500,91.4,0,performance,performance
16,2.019316,0.250000,0.504,2751208,91.2,0,performance,performance
17,1.669266,0.225000,0.507,2767461,91.4,0,performance,performance
18,2.283158,0.287500,0.484,2641480,91.4,0,performance,performance
19,2.025339,0.200000,0.501,2735187,91.2,0,performance,performance
20,1.939644,0.200000,0.492,2687364,91.2,0,performance,performance
21,1.521508,0.287500,0.480,2621980,91.2,0,performance,performance
22,1.945701,0.237500,0.488,2667627,91.2,0,performance,performance
23,1.671014,0.325000,0.460,2511254,91.2,0,performance,performance
24,1.481238,0.187500,0.474,2589084,91.2,0,performance,performance
25,1.642378,0.275000,0.492,2688949,91.2,0,performance,performance
26,2.249652,0.200000,0.485,2651104,91.2,0,performance,performance
27,1.706129,0.325000,0.473,2585467,91.2,0,performance,performance
28,2.023077,0.237500,0.497,2716909,91.2,0,performance,performance
29,1.607342,0.237500,0.482,2634007,91.2,0,performance,performance
30,1.632223,0.262500,0.485,2649821,91.4,0,performance,performance
31,1.443717,0.325000,0.476,2598513,91.2,0,performance,performance
32,1.595279,0.225000,0.470,2565495,91.4,0,performance,performance
33,1.761140,0.212500,0.496,2711288,91.5,0,performance,performance
34,1.805012,0.225000,0.486,2654704,91.8,0,performance,performance
35,1.933121,0.200000,0.485,2651895,91.6,0,performance,performance
36,1.581945,0.300000,0.485,2647769,91.6,0,performance,performance
37,1.888178,0.175000,0.496,2707876,91.6,0,performance,performance
38,1.475885,0.225000,0.473,2585537,91.6,0,performance,performance
39,1.818361,0.275000,0.506,2764446,91.8,0,performance,performance
40,1.535175,0.300000,0.478,2609991,92.0,0,performance,performance
41,1.493754,0.250000,0.521,2848593,91.6,0,performance,performance
42,1.646757,0.250000,0.511,2789750,91.5,0,performance,performance
43,1.570481,0.225000,0.501,2736746,91.8,0,performance,performance
44,1.549630,0.262500,0.497,2716215,91.8,0,performance,performance
45,1.340863,0.250000,0.478,2611042,91.8,0,performance,performance
46,1.393413,0.275000,0.503,2749297,91.6,0,performance,performance
47,1.698010,0.250000,0.500,2732245,91.6,0,performance,performance
48,1.581895,0.325000,0.499,2723512,91.8,0,performance,performance
49,1.867640,0.187500,0.502,2741843,91.6,0,performance,performance
50,1.621328,0.225000,0.519,2837095,91.6,0,performance,performance
51,1.882909,0.300000,0.513,2804411,91.6,0,performance,performance
52,1.828281,0.237500,0.517,2824971,91.6,0,performance,performance
53,1.745030,0.150000,0.528,2884353,91.4,0,performance,performance
54,1.514188,0.350000,0.505,2759549,91.4,0,performance,performance
55,1.366245,0.300000,0.525,2868561,91.4,0,performance,performance
56,1.811962,0.250000,0.528,2885099,91.4,0,performance,performance
57,1.611931,0.250000,0.515,2813135,91.2,0,performance,performance
58,1.890111,0.237500,0.515,2811134,91.2,0,performance,performance
59,1.361502,0.337500,0.529,2887229,91.2,0,performance,performance
60,1.446905,0.287500,0.513,2800404,91.4,0,performance,performance
61,1.507604,0.275000,0.521,2846351,91.4,0,performance,performance
62,1.731806,0.225000,0.480,2621386,91.4,0,performance,performance
63,1.440532,0.250000,0.487,2658792,91.4,0,performance,performance
64,1.595491,0.237500,0.524,2859989,91.2,0,performance,performance
65,2.025243,0.175000,0.504,2753739,91.4,0,performance,performance
66,1.680218,0.300000,0.525,2868806,91.4,0,performance,performance
67,1.626680,0.287500,0.513,2803529,91.4,0,performance,performance
68,1.788934,0.237500,0.520,2838249,91.2,0,performance,performance
69,1.427632,0.262500,0.518,2829479,91.2,0,performance,performance
70,1.404904,0.262500,0.524,2863692,91.4,0,performance,performance
71,1.585366,0.200000,0.569,3110650,91.4,0,performance,performance
72,1.616381,0.200000,0.494,2697726,91.4,0,performance,performance
73,1.614594,0.250000,0.519,2835058,91.2,0,performance,performance
74,1.556951,0.287500,0.517,2823669,91.2,0,performance,performance
75,1.465073,0.300000,0.534,2917944,91.4,0,performance,performance
76,1.376509,0.275000,0.530,2895071,91.2,0,performance,performance
77,1.491976,0.225000,0.511,2789257,91.2,0,performance,performance
