  + /steam/rotko/VisualPlanning/dataset/maze/tokenized_dataset/SFT/train_dataset.jsonl (14459 token pairs)
Data: 7403008 tokens, vocab: 8192
RegionalCtm: 8 regions, 8 connections
  input: d_model=64, d_input=32, memory=4, params=25105
  attention: d_model=64, d_input=32, memory=8, params=29969
  output: d_model=64, d_input=32, memory=16, params=43793
  motor: d_model=64, d_input=32, memory=4, params=25105
  cerebellum: d_model=8, d_input=32, memory=4, params=6193
  basal_ganglia: d_model=8, d_input=32, memory=8, params=6289
  insula: d_model=8, d_input=32, memory=4, params=6193
  hippocampus: d_model=8, d_input=32, memory=16, params=8529
  global_sync: 256 pairs
  vocab: 8192
  prediction heads: 8 (1 + 7 extra)
  total params: 17332489

Learning... (Ctrl+C to save and stop)

step    100 | loss 8.635 | acc 0.2% | 3200 tokens | data 0%
step    200 | loss 7.858 | acc 0.9% | 6400 tokens | data 0%
step    300 | loss 7.325 | acc 1.1% | 9600 tokens | data 0%
step    400 | loss 7.003 | acc 1.3% | 12800 tokens | data 0%
step    500 | loss 6.772 | acc 1.1% | 16000 tokens | data 0%
step    600 | loss 6.695 | acc 1.5% | 19200 tokens | data 0%
step    700 | loss 6.511 | acc 1.3% | 22400 tokens | data 0%
step    800 | loss 6.567 | acc 2.2% | 25600 tokens | data 0%
step    900 | loss 6.545 | acc 2.5% | 28800 tokens | data 0%
step   1000 | loss 6.562 | acc 1.7% | 32000 tokens | data 0%
step   1100 | loss 6.543 | acc 1.2% | 35200 tokens | data 0%
step   1200 | loss 6.448 | acc 1.9% | 38400 tokens | data 1%
step   1300 | loss 6.600 | acc 2.0% | 41600 tokens | data 1%
step   1400 | loss 6.395 | acc 2.5% | 44800 tokens | data 1%
step   1500 | loss 6.456 | acc 2.0% | 48000 tokens | data 1%
step   1600 | loss 6.334 | acc 2.4% | 51200 tokens | data 1%
step   1700 | loss 6.425 | acc 1.9% | 54400 tokens | data 1%
step   1800 | loss 6.312 | acc 3.4% | 57600 tokens | data 1%
step   1900 | loss 6.465 | acc 1.0% | 60800 tokens | data 1%
step   2000 | loss 6.448 | acc 1.8% | 64000 tokens | data 1%
step   2100 | loss 6.236 | acc 2.4% | 67200 tokens | data 1%
step   2200 | loss 6.429 | acc 1.8% | 70400 tokens | data 1%
step   2300 | loss 6.183 | acc 2.5% | 73600 tokens | data 1%
step   2400 | loss 6.284 | acc 2.3% | 76800 tokens | data 1%
step   2500 | loss 6.320 | acc 2.1% | 80000 tokens | data 1%
step   2600 | loss 6.249 | acc 1.8% | 83200 tokens | data 1%
step   2700 | loss 6.287 | acc 2.1% | 86400 tokens | data 1%
step   2800 | loss 6.158 | acc 2.0% | 89600 tokens | data 1%
step   2900 | loss 6.181 | acc 2.1% | 92800 tokens | data 1%
step   3000 | loss 6.284 | acc 2.6% | 96000 tokens | data 1%
step   3100 | loss 6.261 | acc 1.6% | 99200 tokens | data 1%
step   3200 | loss 6.294 | acc 2.1% | 102400 tokens | data 1%
step   3300 | loss 6.229 | acc 2.3% | 105600 tokens | data 1%
step   3400 | loss 6.301 | acc 2.4% | 108800 tokens | data 1%
step   3500 | loss 6.373 | acc 3.2% | 112000 tokens | data 2%
step   3600 | loss 6.341 | acc 1.5% | 115200 tokens | data 2%
step   3700 | loss 6.226 | acc 2.3% | 118400 tokens | data 2%
step   3800 | loss 6.186 | acc 2.1% | 121600 tokens | data 2%
step   3900 | loss 6.296 | acc 2.6% | 124800 tokens | data 2%
step   4000 | loss 6.359 | acc 3.3% | 128000 tokens | data 2%
step   4100 | loss 6.209 | acc 1.7% | 131200 tokens | data 2%
step   4200 | loss 6.211 | acc 2.3% | 134400 tokens | data 2%
step   4300 | loss 6.356 | acc 2.1% | 137600 tokens | data 2%
step   4400 | loss 6.325 | acc 1.2% | 140800 tokens | data 2%
step   4500 | loss 6.246 | acc 2.0% | 144000 tokens | data 2%
step   4600 | loss 6.149 | acc 2.0% | 147200 tokens | data 2%
step   4700 | loss 6.346 | acc 2.0% | 150400 tokens | data 2%
step   4800 | loss 6.191 | acc 1.6% | 153600 tokens | data 2%
step   4900 | loss 6.164 | acc 1.6% | 156800 tokens | data 2%
step   5000 | loss 6.354 | acc 1.8% | 160000 tokens | data 2%
  [saved]
step   5100 | loss 6.171 | acc 1.8% | 163200 tokens | data 2%
step   5200 | loss 6.213 | acc 2.1% | 166400 tokens | data 2%
step   5300 | loss 6.160 | acc 2.3% | 169600 tokens | data 2%
step   5400 | loss 6.171 | acc 1.9% | 172800 tokens | data 2%
step   5500 | loss 6.210 | acc 2.4% | 176000 tokens | data 2%
step   5600 | loss 6.347 | acc 2.2% | 179200 tokens | data 2%
step   5700 | loss 6.326 | acc 2.6% | 182400 tokens | data 2%
step   5800 | loss 6.080 | acc 2.5% | 185600 tokens | data 3%
step   5900 | loss 6.198 | acc 2.3% | 188800 tokens | data 3%
step   6000 | loss 6.155 | acc 1.8% | 192000 tokens | data 3%
step   6100 | loss 6.077 | acc 2.1% | 195200 tokens | data 3%
step   6200 | loss 6.192 | acc 2.0% | 198400 tokens | data 3%
step   6300 | loss 6.245 | acc 2.1% | 201600 tokens | data 3%
step   6400 | loss 6.287 | acc 1.8% | 204800 tokens | data 3%
step   6500 | loss 6.142 | acc 1.5% | 208000 tokens | data 3%
step   6600 | loss 6.115 | acc 2.5% | 211200 tokens | data 3%
step   6700 | loss 6.198 | acc 1.9% | 214400 tokens | data 3%
step   6800 | loss 6.211 | acc 2.4% | 217600 tokens | data 3%
step   6900 | loss 6.267 | acc 2.2% | 220800 tokens | data 3%
step   7000 | loss 6.179 | acc 2.1% | 224000 tokens | data 3%
step   7100 | loss 6.128 | acc 3.0% | 227200 tokens | data 3%
step   7200 | loss 6.206 | acc 2.5% | 230400 tokens | data 3%
step   7300 | loss 6.331 | acc 2.6% | 233600 tokens | data 3%
step   7400 | loss 6.102 | acc 2.6% | 236800 tokens | data 3%
step   7500 | loss 6.244 | acc 2.2% | 240000 tokens | data 3%
step   7600 | loss 6.191 | acc 2.4% | 243200 tokens | data 3%
step   7700 | loss 6.262 | acc 2.4% | 246400 tokens | data 3%
step   7800 | loss 6.141 | acc 3.4% | 249600 tokens | data 3%
step   7900 | loss 6.167 | acc 2.0% | 252800 tokens | data 3%
step   8000 | loss 6.248 | acc 2.1% | 256000 tokens | data 3%
step   8100 | loss 6.246 | acc 2.1% | 259200 tokens | data 4%
step   8200 | loss 6.250 | acc 2.7% | 262400 tokens | data 4%
step   8300 | loss 6.240 | acc 2.0% | 265600 tokens | data 4%
step   8400 | loss 6.256 | acc 2.1% | 268800 tokens | data 4%
step   8500 | loss 6.264 | acc 3.3% | 272000 tokens | data 4%
step   8600 | loss 6.092 | acc 1.8% | 275200 tokens | data 4%
step   8700 | loss 6.178 | acc 1.7% | 278400 tokens | data 4%
step   8800 | loss 6.217 | acc 1.8% | 281600 tokens | data 4%
step   8900 | loss 6.260 | acc 1.9% | 284800 tokens | data 4%
step   9000 | loss 6.163 | acc 2.4% | 288000 tokens | data 4%
step   9100 | loss 6.216 | acc 2.0% | 291200 tokens | data 4%
step   9200 | loss 6.168 | acc 2.4% | 294400 tokens | data 4%
step   9300 | loss 6.135 | acc 1.5% | 297600 tokens | data 4%
step   9400 | loss 6.294 | acc 1.2% | 300800 tokens | data 4%
step   9500 | loss 6.137 | acc 1.8% | 304000 tokens | data 4%
step   9600 | loss 6.260 | acc 2.6% | 307200 tokens | data 4%
step   9700 | loss 6.132 | acc 2.8% | 310400 tokens | data 4%
step   9800 | loss 6.126 | acc 2.7% | 313600 tokens | data 4%
step   9900 | loss 6.199 | acc 2.4% | 316800 tokens | data 4%
step  10000 | loss 6.184 | acc 1.7% | 320000 tokens | data 4%
  [saved]
step  10100 | loss 6.267 | acc 2.1% | 323200 tokens | data 4%
step  10200 | loss 5.958 | acc 3.1% | 326400 tokens | data 4%
step  10300 | loss 6.462 | acc 2.9% | 329600 tokens | data 4%
step  10400 | loss 6.249 | acc 1.5% | 332800 tokens | data 4%
step  10500 | loss 6.213 | acc 1.7% | 336000 tokens | data 5%
step  10600 | loss 6.179 | acc 2.7% | 339200 tokens | data 5%
step  10700 | loss 6.096 | acc 3.2% | 342400 tokens | data 5%
step  10800 | loss 6.154 | acc 2.4% | 345600 tokens | data 5%
