  + /steam/rotko/VisualPlanning/dataset/maze/tokenized_dataset/SFT/train_dataset.jsonl (14459 token pairs)
Data: 7403008 tokens, vocab: 8192
RegionalCtm: 8 regions, 8 connections
  input: d_model=512, d_input=32, memory=64, params=3162273
  attention: d_model=512, d_input=32, memory=64, params=3162273
  output: d_model=512, d_input=32, memory=64, params=3162273
  motor: d_model=512, d_input=32, memory=64, params=3162273
  cerebellum: d_model=64, d_input=32, memory=32, params=96017
  basal_ganglia: d_model=64, d_input=32, memory=32, params=96017
  insula: d_model=64, d_input=32, memory=32, params=96017
  hippocampus: d_model=64, d_input=32, memory=64, params=298769
  global_sync: 1024 pairs
  vocab: 8192
  prediction heads: 8 (1 + 7 extra)
  total params: 80992841

Learning... (Ctrl+C to save and stop)

    kernel 'test_store': kd_va=0x280 file_off=0x280 entry_off=0x1080 code=0x7f51c48e6300
    kernel 'matvec': kd_va=0x500 file_off=0x500 entry_off=0x1100 code=0x7f51c48e1600
    kernel 'matmul_blocked': kd_va=0x580 file_off=0x580 entry_off=0x1080 code=0x7f51c48de600
    kernel 'matmul_small': kd_va=0x540 file_off=0x540 entry_off=0x10c0 code=0x7f51c48db600
    kernel 'superlinear_fwd': kd_va=0x580 file_off=0x580 entry_off=0x1080 code=0x7f51c48d8600
    matvec 1WG (256x64): OK y0=0.0000
    matvec 4WG (1024x64): OK y0=0.0000
    matvec 16WG (4096x64): OK y0=0.0000
    matvec 33WG (8448x64): OK y0=0.0000
step    100 | loss 8.933 | acc 0.0% | 3200 tokens | data 0%
step    200 | loss 8.906 | acc 0.0% | 6400 tokens | data 0%
step    300 | loss 8.878 | acc 0.2% | 9600 tokens | data 0%
step    400 | loss 8.842 | acc 1.7% | 12800 tokens | data 0%
step    500 | loss 8.809 | acc 1.3% | 16000 tokens | data 0%
step    600 | loss 8.779 | acc 0.9% | 19200 tokens | data 0%
step    700 | loss 8.744 | acc 1.8% | 22400 tokens | data 0%
step    800 | loss 8.718 | acc 1.3% | 25600 tokens | data 0%
step    900 | loss 8.690 | acc 1.8% | 28800 tokens | data 0%
step   1000 | loss 8.657 | acc 0.9% | 32000 tokens | data 0%
step   1100 | loss 8.630 | acc 1.0% | 35200 tokens | data 0%
step   1200 | loss 8.592 | acc 1.9% | 38400 tokens | data 1%
step   1300 | loss 8.575 | acc 1.1% | 41600 tokens | data 1%
step   1400 | loss 8.534 | acc 1.1% | 44800 tokens | data 1%
step   1500 | loss 8.506 | acc 0.8% | 48000 tokens | data 1%
step   1600 | loss 8.475 | acc 1.4% | 51200 tokens | data 1%
step   1700 | loss 8.456 | acc 1.2% | 54400 tokens | data 1%
step   1800 | loss 8.417 | acc 1.3% | 57600 tokens | data 1%
step   1900 | loss 8.396 | acc 1.5% | 60800 tokens | data 1%
step   2000 | loss 8.379 | acc 1.4% | 64000 tokens | data 1%
step   2100 | loss 8.336 | acc 1.2% | 67200 tokens | data 1%
step   2200 | loss 8.334 | acc 0.7% | 70400 tokens | data 1%
step   2300 | loss 8.285 | acc 0.9% | 73600 tokens | data 1%
step   2400 | loss 8.267 | acc 1.4% | 76800 tokens | data 1%
step   2500 | loss 8.251 | acc 1.3% | 80000 tokens | data 1%
step   2600 | loss 8.213 | acc 1.4% | 83200 tokens | data 1%
step   2700 | loss 8.195 | acc 1.5% | 86400 tokens | data 1%
step   2800 | loss 8.183 | acc 0.9% | 89600 tokens | data 1%
step   2900 | loss 8.164 | acc 1.4% | 92800 tokens | data 1%
step   3000 | loss 8.156 | acc 1.9% | 96000 tokens | data 1%
step   3100 | loss 8.122 | acc 1.1% | 99200 tokens | data 1%
step   3200 | loss 8.114 | acc 0.8% | 102400 tokens | data 1%
step   3300 | loss 8.082 | acc 1.1% | 105600 tokens | data 1%
step   3400 | loss 8.069 | acc 1.3% | 108800 tokens | data 1%
step   3500 | loss 8.069 | acc 1.4% | 112000 tokens | data 2%
step   3600 | loss 8.039 | acc 0.9% | 115200 tokens | data 2%
step   3700 | loss 8.001 | acc 0.8% | 118400 tokens | data 2%
step   3800 | loss 7.975 | acc 0.5% | 121600 tokens | data 2%
step   3900 | loss 7.977 | acc 0.8% | 124800 tokens | data 2%
step   4000 | loss 7.964 | acc 1.1% | 128000 tokens | data 2%
step   4100 | loss 7.918 | acc 1.1% | 131200 tokens | data 2%
step   4200 | loss 7.904 | acc 1.0% | 134400 tokens | data 2%
step   4300 | loss 7.911 | acc 1.0% | 137600 tokens | data 2%
step   4400 | loss 7.892 | acc 1.0% | 140800 tokens | data 2%
step   4500 | loss 7.846 | acc 1.1% | 144000 tokens | data 2%
step   4600 | loss 7.813 | acc 1.1% | 147200 tokens | data 2%
step   4700 | loss 7.846 | acc 0.4% | 150400 tokens | data 2%
step   4800 | loss 7.785 | acc 0.9% | 153600 tokens | data 2%
step   4900 | loss 7.777 | acc 0.8% | 156800 tokens | data 2%
step   5000 | loss 7.791 | acc 1.1% | 160000 tokens | data 2%
  [saved]
step   5100 | loss 7.741 | acc 0.7% | 163200 tokens | data 2%
step   5200 | loss 7.734 | acc 1.0% | 166400 tokens | data 2%
step   5300 | loss 7.697 | acc 0.9% | 169600 tokens | data 2%
step   5400 | loss 7.676 | acc 1.3% | 172800 tokens | data 2%
step   5500 | loss 7.688 | acc 0.7% | 176000 tokens | data 2%
step   5600 | loss 7.684 | acc 1.0% | 179200 tokens | data 2%
step   5700 | loss 7.675 | acc 0.8% | 182400 tokens | data 2%
step   5800 | loss 7.594 | acc 1.0% | 185600 tokens | data 3%
step   5900 | loss 7.603 | acc 1.2% | 188800 tokens | data 3%
step   6000 | loss 7.576 | acc 1.0% | 192000 tokens | data 3%
step   6100 | loss 7.553 | acc 1.0% | 195200 tokens | data 3%
step   6200 | loss 7.570 | acc 0.7% | 198400 tokens | data 3%
step   6300 | loss 7.565 | acc 1.1% | 201600 tokens | data 3%
step   6400 | loss 7.556 | acc 0.9% | 204800 tokens | data 3%
step   6500 | loss 7.497 | acc 1.0% | 208000 tokens | data 3%
step   6600 | loss 7.488 | acc 1.0% | 211200 tokens | data 3%
step   6700 | loss 7.486 | acc 1.2% | 214400 tokens | data 3%
step   6800 | loss 7.488 | acc 0.8% | 217600 tokens | data 3%
step   6900 | loss 7.485 | acc 0.1% | 220800 tokens | data 3%
step   7000 | loss 7.428 | acc 1.1% | 224000 tokens | data 3%
step   7100 | loss 7.417 | acc 1.6% | 227200 tokens | data 3%
step   7200 | loss 7.436 | acc 2.0% | 230400 tokens | data 3%
step   7300 | loss 7.463 | acc 2.8% | 233600 tokens | data 3%
step   7400 | loss 7.374 | acc 1.9% | 236800 tokens | data 3%
step   7500 | loss 7.397 | acc 2.5% | 240000 tokens | data 3%
step   7600 | loss 7.370 | acc 1.1% | 243200 tokens | data 3%
